SERVICECODEDESCRIPTION,,,,Count
Bulk Collection,,,Bulk Collection,810
Parking Enforcement,,,Parking Enforcement,479
Bulk Collection,,,Residential Snow Removal (ServeDC),275
Bulk Collection,,,Scheduled Yard Waste,265
Bulk Collection,,,Illegal Dumping,245
Bulk Collection,,,Trash Collection - Missed,224
Tree Inspection,,,DC Government Information,183
Parking Enforcement,,,Recycling Collection - Missed,169
Tree Inspection,,,Sanitation Enforcement,153
Rodent Inspection and Treatment,,,Rodent Inspection and Treatment,139
Streetlight Repair Investigation,,,Roadway Signs,99
Recycling Collection - Missed,,,Leaf Collection Missed,96
Tree Removal,,,Residential Parking Permit Violation,71
Recycling Collection - Missed,,,Snow and Ice Removal on Public Space,71
Roadway Signs,,,Sidewalk Repair,67
Trash Collection - Missed,,,Traffic Signal Issue,66
Dockless Vehicle Parking Complaint,,,Abandoned Vehicle - On Public Property,52
Bulk Collection,,,Out of State Parking Violation (ROSA),48
Bulk Collection,,,Supercan - Delivery,48
Scheduled Yard Waste,,,Dead Animal Collection,40
Missed Curbside Compost Collection,,,Graffiti Removal,40
Parking Enforcement,,,Container Removal,39
Roadway Signs,,,Streetlight Repair Investigation,39
Parking Enforcement,,,Trash Cart - Delivery,37
Parking Enforcement,,,Recycling Cart Delivery,36
Parking Enforcement,,,Tree Inspection,36
Parking Enforcement,,,Pothole,35
Bulk Collection,,,"Lost/Stolen Compost Bin, Broken Compost Bin or Opt-Out of Curbside Composting Pilot Program",30
Roadway Repair,,,Parking Meter Repair,27
Bulk Collection,,,Dockless Vehicle Parking Complaint,24
Parking Enforcement,,,Public Space Litter Can-Collection,24
Bulk Collection,,,Trash Cart Repair,23
Trash Collection - Missed,,,Rat Replacement Containers,21
Traffic Signal Issue,,,DMV - Drivers License/ID Issues,19
Tree Pruning,,,Roadway Repair,18
Recycling Collection - Missed,,,Christmas Tree Removal - Missed,17
Bulk Collection,,,DOB - Vacant Private Property Inspection,17
DC Water - Customer Flooding,,,Missed Curbside Compost Collection,17
Bulk Collection,,,Public Space Inspection,16
Trash Collection - Missed,,,Recycling Cart - Repair,15
Scheduled Yard Waste,,,Tree Planting,15
Trash Cart - Delivery,,,Traffic Safety Input,14
Sidewalk Repair,,,Tree Pruning,14
Tree Removal,,,DOB - Illegal Construction,11
Traffic Signal Issue,,,Tree Removal,11
Bulk Collection,,,DMV - Vehicle Registration Issues,10
Illegal Dumping,,,Supercan - Repair,10
DOB - Illegal Construction,,,DGS - Playground Repair,9
Bulk Collection,,,Abandoned Vehicle - On Private Property,8
Scheduled Yard Waste,,,Bus/Rail Issues,8
Illegal Dumping,,,Roadway Striping / Markings,8
Dockless Vehicle Parking Complaint,,,Alley Repair,7
Tree Inspection,,,DC Water - Customer Flooding,7
Bulk Collection,,,DMV - Ticket Payment Dispute,6
DC Government Information,,,Bicycle Services,5
Dockless Vehicle Parking Complaint,,,DC How Am I Driving?,5
Sanitation Enforcement,,,DMV - Online Processing Issues,5
Trash Cart - Delivery,,,Bee Treatment and Inspection (DOH),4
Dockless Vehicle Parking Complaint,,,Hypothermia Shelter Information,4
Dockless Vehicle Parking Complaint,,,DMV - Vehicle Insurance Lapse,3
Recycling Cart Delivery,,,Pet Waste Complaint,3
Illegal Dumping,,,DGS Grounds Landscaping (DGS),2
Rodent Inspection and Treatment,,,DMV - Driver and Vehicle Services Refund,2
Trash Collection - Missed,,,"DMV - Forms, Applications, and Manuals Request",2
Illegal Dumping,,,DMV - Hearings,2
Bulk Collection,,,DOEE - Engine Idling Tips,2
Bulk Collection,,,DOEE - General Air Quality Concerns,2
Bulk Collection,,,Emergency - Power Outage/Wires Down,2
Illegal Dumping,,,Public Space Litter Can Repair,2
Sanitation Enforcement,,,Wire Down/Power Outage,2
Sanitation Enforcement,,,Abandoned Bicycle,1
Sanitation Enforcement,,,DOEE - Report Construction Erosion Runoff,1
Parking Enforcement,,,DPW - Reporting Electronics in Trash,1
Sanitation Enforcement,,,Emergency No-Parking Verification,1
Sanitation Enforcement,,,FEMS - Fire Safety Inspection,1
Sanitation Enforcement,,,Green Infrastructure Maintenance,1
Sanitation Enforcement,,,Illegal Poster,1
Scheduled Yard Waste,,,Recycling- Information Request,1
Illegal Dumping,,,,
Illegal Dumping,,,,
DGS - Playground Repair,,,,
Trash Collection - Missed,,,,
Bulk Collection,,,,
Roadway Signs,,,,
Recycling Collection - Missed,,,,
Bulk Collection,,,,
Traffic Signal Issue,,,,
Bulk Collection,,,,
Bulk Collection,,,,
Illegal Dumping,,,,
Tree Inspection,,,,
Bulk Collection,,,,
Recycling- Information Request,,,,
Bulk Collection,,,,
Dockless Vehicle Parking Complaint,,,,
Bulk Collection,,,,
Rodent Inspection and Treatment,,,,
Illegal Dumping,,,,
Leaf Collection Missed,,,,
Bulk Collection,,,,
